State,Educated People,Unemployed People,Unemployment Rate %
Telangana,3310,932,28.157099697885197
Sikkim,2583,377,14.595431668602401
Punjab,9338,2578,27.60762475904905
Manipur,9202,2753,29.917409258856768
Rajasthan,5903,966,16.364560393020497
Sikkim,5284,595,11.260408781226344
Bihar,3789,500,13.196093956188967
Bihar,6233,790,12.674474570832665
Haryana,2062,597,28.952473326867118
Jharkhand,1561,432,27.674567584881487
Jharkhand,4166,705,16.922707633221314
Jharkhand,2625,696,26.514285714285712
Telangana,6883,1408,20.456196425977044
Bihar,8429,2501,29.67137264206905
Manipur,6772,1729,25.531600708800944
Uttarakhand,666,144,21.62162162162162
Odisha,9597,2397,24.976555173491715
Madhya Pradesh,4402,869,19.741026805997276
Bihar,2039,405,19.862677783227074
Jharkhand,1657,226,13.63910681955341
Karnataka,3397,507,14.924933765086843
West Bengal,8432,1297,15.381878557874762
Maharashtra,9990,1487,14.884884884884887
Haryana,1215,334,27.48971193415638
Haryana,1076,220,20.44609665427509
Sikkim,8297,1237,14.90900325418826
Arunachal Pradesh,5914,640,10.821778829895164
Madhya Pradesh,608,115,18.914473684210524
Assam,5789,593,10.243565382622215
Assam,6149,753,12.245893641242478
Tripura,4986,800,16.044925792218212
Arunachal Pradesh,8643,1400,16.198079370588918
Goa,5418,1135,20.948689553340717
Himachal Pradesh,5913,807,13.647894469812277
Chhattisgarh,4120,755,18.325242718446603
Andhra Pradesh,635,161,25.354330708661415
Kerala,8225,1339,16.279635258358663
Assam,2035,537,26.388206388206388
Goa,8575,1912,22.29737609329446
Sikkim,7288,839,11.512074643249177
Mizoram,5488,1046,19.059766763848394
Himachal Pradesh,5404,784,14.507772020725387
Arunachal Pradesh,4402,1033,23.466606088141752
Nagaland,2198,537,24.431301182893538
Mizoram,1516,426,28.100263852242747
Bihar,6032,1217,20.175729442970823
Tripura,5592,1226,21.9241773962804
West Bengal,8457,2473,29.242048007567696
Himachal Pradesh,6694,1826,27.278159545861968
Rajasthan,4996,1420,28.422738190552444
Chhattisgarh,4862,1193,24.53722747840395
Mizoram,8852,2171,24.525530953456844
Uttar Pradesh,6750,1207,17.881481481481483
Bihar,6351,1698,26.73594709494568
Haryana,4334,810,18.68943239501615
Bihar,1485,169,11.38047138047138
Odisha,9160,2657,29.00655021834061
Nagaland,3265,593,18.162327718223583
Arunachal Pradesh,7928,2097,26.45055499495459
Odisha,2084,453,21.737044145873323
Nagaland,2498,317,12.690152121697357
Rajasthan,9397,1684,17.920612961583483
Assam,1115,239,21.434977578475337
Goa,7455,1479,19.839034205231385
Goa,728,173,23.763736263736263
Madhya Pradesh,2005,420,20.947630922693268
Madhya Pradesh,5824,591,10.147664835164836
Sikkim,2052,332,16.17933723196881
Assam,5677,776,13.669191474370265
Meghalaya,4089,1110,27.146001467351432
West Bengal,3541,663,18.723524428127647
Sikkim,8403,1147,13.649886945138642
Haryana,7676,1652,21.521625846795207
Haryana,2858,708,24.772568229531142
Kerala,3027,894,29.534192269573833
Tamil Nadu,8438,1078,12.77553922730505
Nagaland,5086,788,15.493511600471885
Gujarat,2703,287,10.617832038475768
Haryana,2244,524,23.351158645276293
Odisha,8779,2338,26.631734821733684
Kerala,4406,972,22.060826146164324
Punjab,9659,1998,20.685371156434414
Nagaland,8409,2279,27.101914615293136
Jharkhand,8737,2032,23.257411010644386
Manipur,2184,308,14.102564102564102
Sikkim,9339,988,10.579291144662168
Jharkhand,5069,848,16.72913789702111
Uttar Pradesh,1292,147,11.377708978328172
Odisha,693,152,21.933621933621932
Andhra Pradesh,9303,1487,15.98409115339138
West Bengal,7062,1356,19.20135938827528
Jharkhand,6864,1293,18.83741258741259
Kerala,1413,275,19.4621372965322
Nagaland,4467,937,20.976046563689277
Jharkhand,7415,856,11.544167228590695
Uttarakhand,1199,224,18.682235195996665
Andhra Pradesh,1146,120,10.471204188481675
Tamil Nadu,2225,451,20.269662921348313
Mizoram,5319,888,16.694867456288776
Karnataka,3594,790,21.981079577072897
Chhattisgarh,5696,1483,26.035814606741575
Tripura,7306,2025,27.716944976731455
Rajasthan,9776,1730,17.696399345335514
Bihar,1406,360,25.604551920341397
Punjab,3266,565,17.29944886711574
Himachal Pradesh,6829,1455,21.306194171913898
Tripura,3613,1008,27.899252698588427
West Bengal,6201,807,13.01402999516207
West Bengal,8425,1838,21.816023738872403
Manipur,5479,856,15.623288921336009
Telangana,2894,798,27.574291637871458
Andhra Pradesh,8391,1529,18.221904421403885
Punjab,5224,839,16.06049004594181
Himachal Pradesh,711,124,17.440225035161745
Haryana,2882,428,14.850798056904926
Telangana,8189,926,11.30785199658078
Maharashtra,6112,963,15.755890052356019
Uttarakhand,3735,394,10.548862115127175
Nagaland,8236,2193,26.6270033997086
Tripura,2919,409,14.011647824597464
Rajasthan,8865,1184,13.35589396503102
Telangana,7489,1233,16.46414741621044
Andhra Pradesh,7170,1179,16.443514644351463
Kerala,4068,882,21.68141592920354
Chhattisgarh,5761,1397,24.249262280854015
Uttar Pradesh,7214,1074,14.887718325478236
Andhra Pradesh,1402,184,13.12410841654779
Karnataka,863,234,27.11471610660487
Manipur,1242,259,20.853462157809986
Tamil Nadu,1575,441,28.000000000000004
Rajasthan,3344,536,16.028708133971293
Odisha,8849,2622,29.63046671940332
Chhattisgarh,8786,1983,22.569997723651262
Tamil Nadu,1788,190,10.626398210290827
Bihar,5215,1079,20.69031639501438
Uttarakhand,6700,1651,24.64179104477612
Punjab,5036,745,14.793486894360603
Haryana,4438,1161,26.1604326273096
Himachal Pradesh,9497,2779,29.261872170159
Maharashtra,3674,812,22.1012520413718
Goa,5977,1483,24.811778484189393
Andhra Pradesh,2764,727,26.302460202604923
Himachal Pradesh,4857,779,16.038707020794728
Meghalaya,2434,274,11.257189811010681
Meghalaya,5846,734,12.555593568251796
Sikkim,6015,1741,28.94430590191189
Kerala,6291,874,13.892862819901447
Chhattisgarh,1766,473,26.7836919592299
Haryana,3503,719,20.525264059377676
Maharashtra,7092,2086,29.413423575860126
Uttarakhand,2390,274,11.464435146443515
Karnataka,8685,1500,17.271157167530223
Rajasthan,9268,1936,20.889080707811825
Manipur,9324,2116,22.694122694122694
Nagaland,8749,1711,19.556520745228028
West Bengal,6515,1072,16.454336147352265
Punjab,9336,1590,17.030848329048844
Bihar,3928,518,13.18737270875764
Jharkhand,6135,1306,21.28769356153219
Odisha,1234,206,16.693679092382496
Sikkim,3742,755,20.176376269374664
Assam,3272,847,25.886308068459655
Punjab,8100,1463,18.06172839506173
Sikkim,1313,139,10.586443259710586
Uttarakhand,771,175,22.69779507133593
Kerala,2777,730,26.28736046092906
Telangana,2781,679,24.415677813736067
Odisha,5737,1084,18.894892801115564
Maharashtra,4779,1391,29.106507637581085
Telangana,1711,236,13.793103448275861
Arunachal Pradesh,8161,2102,25.756647469672835
Gujarat,3755,593,15.792276964047936
Karnataka,3441,720,20.92414995640802
Sikkim,1173,128,10.912190963341859
Mizoram,8655,1627,18.798382437897168
West Bengal,4044,573,14.169139465875372
Mizoram,1793,431,24.03792526491913
Uttarakhand,7035,1419,20.17057569296375
Bihar,8262,1820,22.028564512224644
Uttarakhand,2914,683,23.438572409059713
Nagaland,2219,314,14.150518251464625
Karnataka,9950,2272,22.834170854271356
Jharkhand,3715,461,12.409152086137281
Madhya Pradesh,8306,1148,13.821333975439442
Maharashtra,2000,475,23.75
Uttar Pradesh,8492,2136,25.1530852567122
Gujarat,5141,1531,29.780198404979576
Gujarat,883,167,18.912797281993203
Haryana,2418,567,23.449131513647643
Himachal Pradesh,9230,1276,13.824485373781148
Maharashtra,5671,1119,19.731969670252163
Tripura,1684,425,25.237529691211403
Haryana,2287,306,13.379973764757324
Mizoram,2338,385,16.46706586826347
Tripura,3667,465,12.680665394055085
Tamil Nadu,5243,1273,24.279992370780086
Tripura,1307,201,15.378729915837797
Meghalaya,7861,1228,15.621422210914643
Uttar Pradesh,2137,516,24.145999064108565
Himachal Pradesh,7311,797,10.901381479961701
Bihar,5259,609,11.580148317170565
Gujarat,1149,208,18.102697998259355
Nagaland,2705,529,19.55637707948244
Haryana,2705,349,12.902033271719038
Rajasthan,1099,192,17.470427661510467
Uttar Pradesh,9341,2547,27.266887913499627
Assam,1945,426,21.902313624678662
Mizoram,1964,224,11.405295315682281
Tripura,6335,1590,25.09865824782952
Odisha,6832,1135,16.612997658079625
Maharashtra,8332,1474,17.69083053288526
Telangana,6233,1055,16.926038825605648
Tripura,4700,708,15.063829787234043
Chhattisgarh,9180,2360,25.70806100217865
Chhattisgarh,9896,2718,27.465642683912694
Madhya Pradesh,4438,1293,29.134745380802162
Nagaland,5538,1547,27.93427230046948
Telangana,7662,1325,17.29313495170974
Tamil Nadu,9173,2442,26.621606889785237
Uttar Pradesh,9147,2039,22.291461681425602
Rajasthan,2048,222,10.83984375
Arunachal Pradesh,8977,2595,28.907207307563777
Goa,6912,1510,21.846064814814813
Uttar Pradesh,9764,1013,10.374846374436707
Telangana,8938,1218,13.62720966659208
West Bengal,4213,1238,29.385236173747924
Arunachal Pradesh,3205,773,24.118564742589705
Punjab,2987,494,16.538332775359894
Sikkim,2987,730,24.439236692333445
Telangana,7405,1295,17.488183659689398
Punjab,9713,1740,17.914135694430144
Tamil Nadu,5431,1321,24.32332903700976
Tamil Nadu,7114,1498,21.057070565082935
Haryana,9507,1534,16.135479120647943
Jharkhand,9416,2759,29.30118946474087
Nagaland,7893,1152,14.59521094640821
Jharkhand,4552,1321,29.02021089630931
Tamil Nadu,1304,325,24.92331288343558
Andhra Pradesh,8416,1216,14.44866920152091
Punjab,3574,375,10.492445439283715
Tripura,4334,1232,28.426395939086298
Chhattisgarh,9482,2519,26.5661252900232
Nagaland,2082,256,12.295869356388089
Rajasthan,6471,1676,25.90016998918251
Sikkim,6893,1782,25.852313941679967
Mizoram,2566,571,22.25253312548714
Bihar,4596,937,20.387293298520454
Karnataka,6287,1633,25.974232543343405
Arunachal Pradesh,2596,587,22.61171032357473
Rajasthan,1226,298,24.306688417618272
Chhattisgarh,8567,1574,18.372825960079375
Chhattisgarh,8432,2253,26.719639468690705
Mizoram,8703,2171,24.945421119154314
Mizoram,3172,510,16.078184110970998
Meghalaya,6348,781,12.303087586641462
Karnataka,6800,831,12.220588235294118
Maharashtra,1986,563,28.3484390735146
Himachal Pradesh,9470,1834,19.366420274551214
West Bengal,4849,811,16.725097958341927
Kerala,7961,2357,29.60683331239794
Rajasthan,6870,1864,27.13245997088792
Gujarat,7770,1602,20.617760617760617
Jharkhand,5038,707,14.033346566097658
West Bengal,8937,1238,13.85252321808213
Meghalaya,2823,505,17.888770811193766
Bihar,1136,119,10.475352112676056
Punjab,5950,693,11.647058823529411
Madhya Pradesh,5925,960,16.20253164556962
Odisha,9350,2014,21.540106951871657
Nagaland,9509,1577,16.584288568724368
Karnataka,1490,302,20.268456375838927
Assam,2817,523,18.565850195243165
Arunachal Pradesh,6020,1651,27.42524916943522
Kerala,2987,737,24.673585537328425
Bihar,604,113,18.70860927152318
Madhya Pradesh,1505,337,22.39202657807309
Chhattisgarh,3633,659,18.139278832920454
Uttarakhand,4950,544,10.98989898989899
Arunachal Pradesh,4177,494,11.8266698587503
Nagaland,7889,1200,15.211053365445556
Andhra Pradesh,3126,762,24.37619961612284
Haryana,703,138,19.630156472261735
Tripura,2245,556,24.766146993318486
Uttarakhand,1277,335,26.233359436178542
Chhattisgarh,4959,795,16.031457955232913
Bihar,9480,1539,16.234177215189874
Goa,1576,382,24.238578680203045
Gujarat,1896,288,15.18987341772152
Bihar,3091,899,29.08443869297962
Assam,7764,2077,26.751674394641938
Uttar Pradesh,6840,1869,27.324561403508774
Himachal Pradesh,5772,989,17.134442134442136
Arunachal Pradesh,5598,568,10.146480886030725
Chhattisgarh,3371,610,18.09552061702759
Uttarakhand,1148,122,10.627177700348431
Andhra Pradesh,9248,1546,16.71712802768166
Tripura,7465,1086,14.547890154052242
Maharashtra,6350,1172,18.456692913385826
Punjab,8218,2140,26.04039912387442
Jharkhand,7823,1555,19.87728492905535
Sikkim,5663,622,10.983577609041143
Goa,2496,575,23.036858974358974
Arunachal Pradesh,7276,1409,19.365035733919736
Haryana,8161,1554,19.041784095086385
Himachal Pradesh,788,180,22.84263959390863
Tamil Nadu,4579,741,16.182572614107883
Rajasthan,5317,700,13.165318788790673
Haryana,6336,1510,23.832070707070706
Bihar,6148,1218,19.81132075471698
Sikkim,4713,1245,26.41629535327817
West Bengal,4927,799,16.21676476557743
Madhya Pradesh,5840,597,10.222602739726028
Bihar,1972,266,13.488843813387424
Gujarat,5328,1382,25.93843843843844
Rajasthan,9624,1508,15.669160432252701
Haryana,1221,166,13.595413595413595
Punjab,5773,1723,29.845834055084016
Andhra Pradesh,6392,921,14.408635794743429
Goa,2645,395,14.933837429111533
West Bengal,4821,899,18.647583488902715
Kerala,2120,306,14.433962264150942
Jharkhand,5497,1478,26.887393123521917
Punjab,9006,1334,14.812347324006216
Haryana,8279,1505,18.178523976325643
Sikkim,5057,691,13.664227803045284
Goa,5646,1201,21.271696776478922
Himachal Pradesh,595,82,13.781512605042018
Kerala,2510,324,12.908366533864543
Manipur,1062,166,15.630885122410545
Andhra Pradesh,1753,476,27.15345122646891
Himachal Pradesh,7687,1453,18.90204240926239
Punjab,5872,1500,25.544959128065397
Gujarat,5395,1253,23.225208526413347
Uttar Pradesh,1447,233,16.1022805805114
Karnataka,793,191,24.08575031525851
Punjab,3199,901,28.165051578618318
Assam,3907,639,16.355259790120297
West Bengal,8824,2272,25.7479601087942
Telangana,4838,1123,23.212071103761886
Andhra Pradesh,2437,546,22.404595814526058
Punjab,9184,1655,18.02047038327526
Uttarakhand,5133,1510,29.417494642509258
Manipur,3498,645,18.43910806174957
Andhra Pradesh,4436,544,12.263300270513977
Punjab,6359,930,14.624941028463596
Gujarat,8093,1901,23.489435314469294
Arunachal Pradesh,2908,329,11.313617606602476
Madhya Pradesh,1607,422,26.260112009956444
West Bengal,2647,314,11.862485833018512
Uttar Pradesh,8017,1925,24.011475614319572
Odisha,3038,826,27.188940092165897
Maharashtra,1227,257,20.945395273023635
Jharkhand,5389,1591,29.523102616440898
Chhattisgarh,9928,2967,29.885173247381143
Uttar Pradesh,9120,1949,21.37061403508772
West Bengal,8998,1094,12.15825739053123
Nagaland,5251,628,11.959626737764236
Bihar,2035,222,10.909090909090908
Assam,8568,1513,17.658730158730158
Rajasthan,8383,1999,23.84587856375999
Maharashtra,3854,1097,28.46393357550597
Uttar Pradesh,9791,1699,17.352670820140943
Meghalaya,6414,1485,23.15247895229186
Telangana,3344,407,12.171052631578947
Chhattisgarh,4921,1364,27.717943507417193
Jharkhand,7130,1990,27.910238429172512
Chhattisgarh,5121,1401,27.35793790275337
Nagaland,9455,1264,13.368588048651509
Odisha,5871,1086,18.497700562084823
Maharashtra,8652,2437,28.166897827092
Maharashtra,9294,975,10.490639122014203
Telangana,2098,328,15.63393708293613
Assam,8313,1490,17.92373391074221
Bihar,7494,1068,14.251401120896718
Jharkhand,3938,476,12.087353986795328
Uttarakhand,7691,1016,13.210245741776102
Telangana,6137,1054,17.174515235457065
Uttarakhand,4814,1000,20.77274615704196
Tamil Nadu,6165,1099,17.8264395782644
Tamil Nadu,3635,658,18.101788170563964
Madhya Pradesh,6100,1061,17.39344262295082
Meghalaya,6115,1352,22.109566639411284
Assam,1811,389,21.479845389287686
Uttarakhand,4047,878,21.69508277736595
Punjab,7031,1546,21.988337363106243
Gujarat,2120,294,13.867924528301886
Manipur,6014,1340,22.28134353175923
Mizoram,5799,949,16.364890498361788
Meghalaya,641,148,23.08892355694228
Uttarakhand,4188,881,21.03629417382999
Himachal Pradesh,6062,871,14.36819531507753
Andhra Pradesh,801,214,26.716604244694132
Karnataka,3447,917,26.602843051929213
Kerala,2996,734,24.499332443257675
Maharashtra,9960,1835,18.423694779116463
Haryana,6859,1920,27.99241871993002
Gujarat,8963,2285,25.493696307040054
Maharashtra,4084,959,23.481880509304602
Sikkim,2267,624,27.525363917071015
Meghalaya,9403,1073,11.41125172817186
Jharkhand,6577,851,12.939029952866049
Gujarat,3089,716,23.179022337325996
Sikkim,4499,993,22.071571460324517
Kerala,5059,1119,22.118995848982014
Odisha,8794,1204,13.691153058903799
Haryana,8138,1624,19.955763086753503
Arunachal Pradesh,2280,667,29.254385964912284
Jharkhand,8151,1866,22.892896577107102
Assam,3897,1007,25.8403900436233
Odisha,7333,733,9.995908904950225
Manipur,2740,547,19.963503649635037
Goa,5087,630,12.384509534106545
West Bengal,3957,753,19.02956785443518
Tamil Nadu,4390,1030,23.462414578587698
Chhattisgarh,4265,836,19.60140679953107
Odisha,4456,1035,23.22710951526032
Manipur,4269,834,19.53619114546732
Odisha,2182,412,18.881759853345553
